id,team,No,name,time_played,position,birthdate,height,weight,salary,nth_year,is_youth,nationality,j1_total_num_played,j1_total_scores,j2_total_num_played,j2_total_scores,j3_total_num_played,j3_total_scores,na_total_num_played,na_total_scores,prev3_team,prev2_team,prev1_team,prev3_div,prev2_div,prev1_div,prev3_num_played,prev2_num_played,prev1_num_played,prev3_scores,prev2_scores,prev1_scores,prev3_time_played,prev2_time_played,prev1_time_played
35,FC東京,34.0,野澤　英之,114.0,MF,1994-08-15,180.0,71.0,480,4.0,1.0,,7.0,0.0,,,13.0,0.0,,,FC東京,FC東京,FC東京,1,1,1,0,4,3,0,0,0,0,144,230
38,FC東京,37.0,橋本　拳人,1956.0,MF,1993-08-16,183.0,76.0,800,4.0,1.0,,13.0,1.0,60.0,0.0,2.0,0.0,,,FC東京・熊本,熊本,FC東京,2,2,1,21,39,13,0,0,1,1803,3245,660
39,FC東京,38.0,東　慶悟,2138.0,MF,1990-07-20,178.0,72.0,2500,4.0,,,156.0,18.0,29.0,6.0,,,,,FC東京,FC東京,FC東京,1,1,1,32,23,25,2,1,4,2594,1413,1671
40,FC東京,39.0,中島　翔哉,765.0,MF,1994-08-23,164.0,64.0,850,3.0,,,18.0,1.0,57.0,8.0,3.0,0.0,,,富山・FC東京,FC東京,FC東京,2,2,1,21,33,13,2,2,1,790,2600,401
44,FC東京,44.0,阿部　拓馬,925.0,FW,1987-12-05,171.0,72.0,2500,1.0,,,44.0,6.0,93.0,37.0,,,,,GER,甲府,甲府,9,1,1,5,14,30,0,1,5,-,933,2544
48,FC東京,47.0,秋元　陽太,3060.0,GK,1987-07-11,182.0,85.0,650,1.0,,,39.0,0.0,125.0,0.0,,,,,愛媛,湘南,湘南,2,2,1,41,42,34,0,0,0,3690,3780,3015
49,FC東京,48.0,水沼　宏太,570.0,MF,1990-02-22,176.0,72.0,3200,1.0,,,153.0,20.0,50.0,7.0,,,,,鳥栖,鳥栖,鳥栖,1,1,1,27,32,32,4,4,7,1808,2356,2353
53,FC東京,50.0,駒野　友一,90.0,DF,1981-07-25,173.0,72.0,3000,1.0,,,361.0,18.0,87.0,4.0,,,78.0,1.0,磐田,磐田,磐田,1,2,2,34,35,29,2,3,1,3015,3056,2270
56,G大阪,1.0,東口　順昭,3060.0,GK,1986-05-12,184.0,78.0,5800,3.0,,,152.0,0.0,,,,,1.0,0.0,新潟,G大阪,G大阪,1,1,1,21,34,34,0,0,0,1890,3060,3029
58,G大阪,3.0,西野　貴治,95.0,DF,1993-09-14,187.0,73.0,900,5.0,1.0,,15.0,1.0,29.0,3.0,3.0,0.0,,,G大阪,G大阪,G大阪,2,1,1,29,12,3,3,1,0,2602,991,264
59,G大阪,4.0,藤春　廣輝,2486.0,DF,1988-11-28,175.0,60.0,3000,6.0,,,102.0,2.0,42.0,2.0,,,3.0,0.0,G大阪,G大阪,G大阪,2,1,1,42,25,32,4,0,0,3780,1950,2800
60,G大阪,5.0,丹羽　大輝,2462.0,DF,1986-01-16,181.0,74.0,3500,8.0,1.0,,103.0,2.0,149.0,6.0,,,2.0,0.0,G大阪,G大阪,G大阪,2,1,1,25,25,34,2,2,0,2155,2065,3060
61,G大阪,6.0,金　正也,2404.0,DF,1988-05-17,183.0,74.0,1200,5.0,,,35.0,0.0,,,,,,,鳥栖,G大阪,G大阪,1,1,1,8,4,13,0,0,0,557,213,737
62,G大阪,7.0,遠藤　保仁,2872.0,MF,1980-01-28,178.0,75.0,14500,16.0,,,503.0,98.0,33.0,5.0,,,152.0,15.0,G大阪,G大阪,G大阪,2,1,1,33,34,34,5,6,5,2955,3053,3031
63,G大阪,8.0,岩下　敬輔,819.0,DF,1986-09-24,181.0,77.0,4000,5.0,,,195.0,13.0,17.0,2.0,,,,,G大阪,G大阪,G大阪,2,1,1,17,32,24,2,1,0,1460,2847,2145
64,G大阪,9.0,アデミウソン,1942.0,FW,1994-01-09,176.0,74.0,8000,1.0,,brazil,33.0,8.0,,,,,,,BRA,BRA,横浜FM,9,9,1,21,15,33,2,1,8,-,-,2820
66,G大阪,11.0,倉田　秋,2201.0,MF,1988-11-26,172.0,68.0,3500,8.0,1.0,,147.0,28.0,57.0,16.0,,,1.0,0.0,G大阪,G大阪,G大阪,2,1,1,28,30,31,8,6,5,2380,1726,2193
67,G大阪,13.0,阿部　浩之,1731.0,MF,1989-07-05,170.0,68.0,2700,5.0,,,81.0,13.0,30.0,5.0,,,,,G大阪,G大阪,G大阪,2,1,1,30,30,33,5,7,4,1446,2274,1967
68,G大阪,14.0,米倉　恒貴,1694.0,DF,1988-05-17,176.0,71.0,3000,3.0,,,79.0,1.0,109.0,20.0,,,2.0,0.0,千葉,G大阪,G大阪,2,1,1,40,21,31,6,1,2,3486,1532,2454
69,G大阪,15.0,今野　泰幸,2721.0,MF,1983-01-25,178.0,73.0,10000,5.0,,,357.0,39.0,91.0,7.0,,,87.0,2.0,G大阪,G大阪,G大阪,2,1,1,32,33,31,4,2,3,2880,2766,2615
71,G大阪,17.0,岡崎　建哉,0.0,MF,1990-05-31,175.0,62.0,800,3.0,1.0,,2.0,0.0,42.0,2.0,,,,,G大阪,G大阪,愛媛,2,1,2,22,2,20,2,0,0,860,77,1664
73,G大阪,19.0,大森　晃太郎,1377.0,MF,1992-04-28,170.0,70.0,2500,6.0,1.0,,59.0,8.0,16.0,1.0,,,,,G大阪,G大阪,G大阪,2,1,1,16,24,30,1,5,3,948,1448,1640
74,G大阪,20.0,長沢　駿,1152.0,FW,1988-08-25,192.0,82.0,1200,2.0,,,35.0,7.0,79.0,12.0,,,,,松本,清水,清水・G大阪,2,1,1,32,10,18,3,4,3,1132,623,929
75,G大阪,21.0,井手口　陽介,1490.0,MF,1996-08-23,171.0,71.0,780,3.0,1.0,,8.0,0.0,0.0,0.0,11.0,1.0,,,G大阪,G大阪,G大阪,2,1,1,0,0,8,0,0,0,0,0,298
76,G大阪,22.0,オ　ジェソク,1522.0,DF,1990-01-04,178.0,74.0,2500,4.0,,koera,34.0,0.0,5.0,0.0,,,,,G大阪,G大阪,G大阪,2,1,1,5,24,10,0,0,0,218,2114,645
77,G大阪,23.0,呉屋　大翔,337.0,FW,1994-01-02,177.0,68.0,480,1.0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,G大阪,25.0,藤本　淳吾,408.0,MF,1984-03-24,173.0,69.0,6000,1.0,,,278.0,51.0,,,,,13.0,1.0,名古屋,横浜FM,横浜FM,1,1,1,28,26,19,3,3,3,2195,1803,1256
84,G大阪,29.0,パトリック,1023.0,FW,1987-10-26,189.0,82.0,8800,3.0,,brazil,75.0,28.0,,,,,,,川崎F・甲府,BRA・G大阪,G大阪,1,1,1,24,22,32,7,9,12,1569,1387,2428
96,G大阪,39.0,宇佐美　貴史,1370.0,FW,1992-05-06,178.0,69.0,7500,7.0,1.0,,103.0,40.0,18.0,19.0,,,13.0,2.0,G大阪,G大阪,G大阪,2,1,1,18,26,34,19,10,19,1514,2026,2965
97,G大阪,40.0,小椋　祥平,13.0,MF,1985-09-08,175.0,67.0,1800,2.0,,,157.0,2.0,108.0,3.0,,,,,横浜FM,横浜FM,G大阪・山形,1,1,1,17,19,15,0,0,0,566,1346,822
109,浦和,1.0,西川　周作,3060.0,GK,1986-06-18,183.0,81.0,8500,3.0,,,321.0,0.0,,,,,23.0,0.0,広島,浦和,浦和,1,1,1,33,34,34,0,0,0,2970,3060,3060
110,浦和,2.0,加賀　健一,71.0,DF,1983-09-30,181.0,75.0,2200,2.0,,,157.0,2.0,75.0,4.0,,,,,FC東京,FC東京,浦和,1,1,1,18,7,4,0,0,0,1372,630,108
111,浦和,3.0,宇賀神　友弥,2103.0,MF,1988-03-23,172.0,71.0,2700,7.0,1.0,,157.0,9.0,,,,,,,浦和,浦和,浦和,1,1,1,31,31,31,1,3,1,2337,2646,2654
112,浦和,4.0,那須　大亮,1142.0,DF,1981-10-10,180.0,77.0,4000,4.0,,,368.0,28.0,,,,,,,浦和,浦和,浦和,1,1,1,32,32,30,9,3,2,2646,2803,2664
113,浦和,5.0,槙野　智章,2542.0,DF,1987-05-11,182.0,77.0,7000,5.0,,,217.0,32.0,41.0,7.0,,,22.0,2.0,浦和,浦和,浦和,1,1,1,34,31,33,6,4,3,3060,2745,2970
114,浦和,6.0,遠藤　航,2304.0,DF,1993-02-09,178.0,75.0,3300,1.0,,,54.0,8.0,104.0,15.0,,,5.0,0.0,湘南,湘南,湘南,1,2,1,17,38,31,3,7,4,1530,3364,2745
115,浦和,7.0,梅崎　司,695.0,MF,1987-02-23,169.0,67.0,3400,9.0,,,218.0,29.0,,,,,1.0,0.0,浦和,浦和,浦和,1,1,1,28,33,31,2,4,8,1484,1947,1743
116,浦和,9.0,武藤　雄樹,2628.0,FW,1988-11-07,170.0,68.0,2800,2.0,,,102.0,19.0,,,,,2.0,2.0,仙台,仙台,浦和,1,1,1,22,30,32,0,4,13,702,1720,2588
117,浦和,10.0,柏木　陽介,2712.0,MF,1987-12-15,176.0,73.0,7000,7.0,,,276.0,45.0,31.0,4.0,,,7.0,0.0,浦和,浦和,浦和,1,1,1,34,33,33,8,3,5,2903,2882,2834
118,浦和,11.0,石原　直樹,115.0,FW,1984-08-14,173.0,64.0,4000,2.0,,,188.0,47.0,143.0,41.0,,,,,大宮,大宮,浦和,1,1,1,33,29,4,10,10,0,2843,2472,298
119,浦和,13.0,高木　俊幸,829.0,FW,1991-05-25,170.0,64.0,2500,2.0,,,141.0,22.0,30.0,6.0,,,,,清水,清水,浦和,1,1,1,30,31,21,6,3,2,1670,1912,881
120,浦和,14.0,平川　忠亮,0.0,DF,1979-05-01,172.0,72.0,2500,15.0,,,330.0,9.0,,,,,,,浦和,浦和,浦和,1,1,1,27,25,8,0,1,0,1906,1735,312
121,浦和,15.0,大谷　幸輝,0.0,GK,1989-04-08,186.0,90.0,700,8.0,1.0,,0.0,0.0,42.0,0.0,,,,,浦和,北九州,浦和,1,2,1,0,42,0,0,0,0,0,3780,0
122,浦和,16.0,青木　拓矢,565.0,MF,1989-09-16,179.0,77.0,2500,3.0,,,170.0,12.0,,,,,,,大宮,浦和,浦和,1,1,1,28,21,22,4,0,1,2440,986,517
123,浦和,17.0,永田　充,20.0,DF,1983-04-06,184.0,82.0,2500,6.0,,,271.0,6.0,,,,,2.0,0.0,浦和,浦和,浦和,1,1,1,9,13,5,0,0,0,467,540,280
124,浦和,18.0,駒井　善成,1144.0,MF,1992-06-06,168.0,64.0,2300,1.0,,,0.0,0.0,171.0,15.0,,,,,京都,京都,京都,2,2,2,39,40,35,4,1,3,3164,3192,3192
125,浦和,20.0,李　忠成,2137.0,FW,1985-12-19,182.0,77.0,5000,3.0,,,218.0,52.0,31.0,8.0,,,11.0,2.0,FC東京・ENG,浦和,浦和,1,1,1,13,34,24,4,6,2,457,1914,792
126,浦和,21.0,ズラタン,799.0,FW,1983-12-15,186.0,80.0,8000,2.0,,slovenia,100.0,25.0,,,,,48.0,6.0,大宮,大宮,浦和,1,1,1,27,32,29,6,7,8,2110,2718,1296
127,浦和,22.0,阿部　勇樹,3060.0,MF,1981-09-06,178.0,77.0,10000,9.0,,,469.0,67.0,,,,,53.0,3.0,浦和,浦和,浦和,1,1,1,33,34,34,6,4,3,2960,3060,3060
129,浦和,24.0,関根　貴大,2465.0,MF,1995-04-19,167.0,61.0,1400,3.0,1.0,,53.0,8.0,,,,,,,浦和,浦和,浦和,1,1,1,0,21,32,0,2,6,0,550,2465
130,浦和,26.0,伊藤　涼太郎,17.0,MF,1998-02-06,174.0,66.0,380,1.0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,浦和,30.0,興梠　慎三,2264.0,FW,1986-07-31,175.0,72.0,7500,4.0,,,282.0,86.0,,,,,16.0,0.0,浦和,浦和,浦和,1,1,1,33,31,26,13,12,12,2904,2478,2003
134,浦和,33.0,橋本　和,10.0,DF,1986-09-14,181.0,72.0,1800,2.0,,,112.0,5.0,29.0,0.0,,,,,柏,柏,浦和,1,1,1,20,32,6,0,3,0,1608,2741,136
135,浦和,46.0,森脇　良太,2910.0,DF,1986-04-06,177.0,75.0,5200,4.0,,,216.0,16.0,100.0,9.0,,,3.0,0.0,浦和,浦和,浦和,1,1,1,33,33,30,3,3,2,2796,2938,2610
138,横浜FM,1.0,榎本　哲也,2025.0,GK,1983-05-02,180.0,76.0,2800,15.0,1.0,,215.0,0.0,,,,,,,横浜FM,横浜FM,横浜FM,1,1,1,33,34,9,0,0,0,2955,3060,810
139,横浜FM,2.0,パク　ジョンス,1089.0,DF,1994-04-12,188.0,76.0,480,1.0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,横浜FM,4.0,栗原　勇蔵,649.0,DF,1983-09-18,184.0,80.0,6500,15.0,1.0,,293.0,15.0,,,,,20.0,3.0,横浜FM,横浜FM,横浜FM,1,1,1,31,29,11,2,3,0,2790,2597,585
143,横浜FM,5.0,ファビオ,1995.0,DF,1989-02-28,186.0,78.0,1600,4.0,,brazil,58.0,5.0,,,,,,,横浜FM,横浜FM,横浜FM,1,1,1,14,11,33,1,0,4,360,733,2895
146,横浜FM,6.0,三門　雄大,111.0,MF,1986-12-26,175.0,72.0,1500,3.0,,,183.0,11.0,,,,,,,新潟,横浜FM,横浜FM,1,1,1,34,13,32,1,0,4,2691,799,2696
147,横浜FM,7.0,兵藤　慎剛,802.0,MF,1985-07-29,172.0,68.0,3700,9.0,,,250.0,30.0,,,,,,,横浜FM,横浜FM,横浜FM,1,1,1,33,31,28,7,3,1,2821,2044,1338
148,横浜FM,8.0,中町　公祐,2642.0,MF,1985-09-01,174.0,74.0,3000,5.0,,,114.0,6.0,101.0,12.0,,,,,横浜FM,横浜FM,横浜FM,1,1,1,33,23,14,1,0,2,2903,1475,957
151,横浜FM,9.0,ラフィーニャ,0.0,FW,1987-06-30,172.0,75.0,4000,3.0,,brazil,45.0,19.0,51.0,13.0,,,,,KOR,KOR・横浜FM,横浜FM,9,1,1,0,8,10,0,4,1,-,381,387
152,横浜FM,10.0,中村　俊輔,1552.0,MF,1978-06-24,178.0,71.0,12000,13.0,,,319.0,64.0,,,,,98.0,24.0,横浜FM,横浜FM,横浜FM,1,1,1,33,32,19,10,3,3,2963,2465,1338
153,横浜FM,11.0,齋藤　学,2844.0,MF,1990-04-04,169.0,66.0,3200,7.0,1.0,,143.0,21.0,36.0,14.0,,,5.0,1.0,横浜FM,横浜FM,横浜FM,1,1,1,28,31,32,4,4,7,2103,2257,2793
154,横浜FM,13.0,小林　祐三,2942.0,DF,1985-11-15,176.0,72.0,2800,6.0,,,267.0,5.0,70.0,1.0,,,,,横浜FM,横浜FM,横浜FM,1,1,1,33,27,32,0,0,2,2839,2354,2845
155,横浜FM,14.0,和田　昌士,11.0,MF,1997-04-11,177.0,74.0,380,1.0,1.0,,0.0,0.0,,,,,,,-,-,横浜FM,-,-,1,-,-,0,-,-,0,-,-,0
156,横浜FM,15.0,新井　一耀,315.0,DF,1993-11-08,186.0,78.0,480,1.0,,,0.0,0.0,,,,,,,-,-,横浜FM,-,-,1,-,-,0,-,-,0,-,-,0
157,横浜FM,16.0,伊藤　翔,1311.0,FW,1988-07-24,184.0,76.0,1900,3.0,,,110.0,22.0,,,,,,,清水,横浜FM,横浜FM,1,1,1,25,32,29,6,8,6,1289,2416,1635
158,横浜FM,17.0,富樫　敬真,868.0,FW,1993-08-10,178.0,75.0,480,1.0,,,4.0,1.0,,,,,,,-,-,横浜FM,-,-,1,-,-,4,-,-,1,-,-,59
159,横浜FM,18.0,遠藤　渓太,954.0,MF,1997-11-22,175.0,66.0,380,1.0,1.0,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160,横浜FM,19.0,仲川　輝人,97.0,FW,1992-07-27,161.0,57.0,480,2.0,,,2.0,0.0,,,,,,,-,-,横浜FM,-,-,1,-,-,2,-,-,0,-,-,26
162,横浜FM,21.0,飯倉　大樹,1035.0,GK,1986-06-01,181.0,75.0,1400,11.0,1.0,,140.0,0.0,,,,,,,横浜FM,横浜FM,横浜FM,1,1,1,0,0,25,0,0,0,0,0,2250
163,横浜FM,22.0,中澤　佑二,3060.0,DF,1978-02-25,187.0,78.0,11000,15.0,,,503.0,31.0,,,,,110.0,17.0,横浜FM,横浜FM,横浜FM,1,1,1,34,34,34,1,2,0,3009,3060,3060
164,横浜FM,23.0,下平　匠,1305.0,DF,1988-10-06,175.0,67.0,2500,3.0,,,198.0,5.0,,,,,,,大宮,横浜FM,横浜FM,1,1,1,30,28,34,1,2,1,2625,2494,3060
165,横浜FM,24.0,金井　貢史,1385.0,DF,1990-02-05,175.0,70.0,1600,6.0,1.0,,81.0,3.0,35.0,5.0,,,,,鳥栖,鳥栖,千葉,1,1,2,15,7,35,2,0,5,575,157,2695
166,横浜FM,25.0,前田　直輝,649.0,FW,1994-11-17,177.0,72.0,1200,1.0,,,31.0,3.0,48.0,4.0,2.0,0.0,,,東京V,東京V,松本,2,2,1,18,26,31,1,3,3,800,1483,1685
167,横浜FM,26.0,中島　賢星,0.0,MF,1996-09-23,180.0,73.0,480,2.0,,,0.0,0.0,,,15.0,1.0,,,-,-,横浜FM,-,-,1,-,-,0,-,-,0,-,-,0
168,横浜FM,28.0,喜田　拓也,2232.0,MF,1994-08-23,170.0,64.0,1000,4.0,1.0,,26.0,0.0,,,10.0,1.0,,,横浜FM,横浜FM,横浜FM,1,1,1,0,2,24,0,0,0,0,46,1881
169,横浜FM,29.0,天野　純,708.0,MF,1991-07-19,175.0,67.0,480,3.0,1.0,,6.0,0.0,,,,,,,-,横浜FM,横浜FM,-,1,1,-,0,6,-,0,0,-,0,169
170,横浜FM,30.0,田口　潤人,0.0,GK,1996-09-28,181.0,77.0,480,2.0,1.0,,0.0,0.0,,,,,,,横浜FM,横浜FM,横浜FM,1,1,1,0,0,0,0,0,0,0,0,0
171,横浜FM,31.0,高橋　拓也,0.0,GK,1989-06-30,181.0,71.0,600,1.0,,,,,,,64.0,0.0,,,YS横浜FM,YS横浜FM,YS横浜FM,4,3,3,28,28,36,0,0,0,-,2520,3240
177,広島,1.0,林　卓人,3060.0,GK,1982-08-09,188.0,85.0,3500,7.0,,,202.0,0.0,183.0,0.0,,,0.0,0.0,仙台,広島,広島,1,1,1,34,31,34,0,0,0,3060,2790,3060
179,広島,4.0,水本　裕貴,1507.0,DF,1985-09-12,183.0,72.0,4500,6.0,,,321.0,13.0,,,,,7.0,0.0,広島,広島,広島,1,1,1,34,34,33,3,1,1,3060,3060,2933
180,広島,5.0,千葉　和彦,2520.0,DF,1985-06-21,183.0,77.0,4200,5.0,,,278.0,5.0,,,,,1.0,0.0,広島,広島,広島,1,1,1,34,30,34,1,1,1,2992,2692,3060
181,広島,6.0,青山　敏弘,2265.0,MF,1986-02-22,174.0,73.0,5800,13.0,,,251.0,15.0,36.0,4.0,,,8.0,1.0,広島,広島,広島,1,1,1,33,25,33,3,1,3,2962,1980,2951
182,広島,7.0,森﨑　浩司,109.0,MF,1981-05-09,177.0,77.0,2000,17.0,1.0,,253.0,40.0,77.0,24.0,,,,,広島,広島,広島,1,1,1,6,21,9,1,1,1,362,982,438
183,広島,8.0,森﨑　和幸,1921.0,MF,1981-05-09,177.0,75.0,4500,17.0,1.0,,393.0,19.0,74.0,3.0,,,,,広島,広島,広島,1,1,1,33,29,33,0,0,1,2970,2508,2940
184,広島,9.0,ピーター　ウタカ,2630.0,FW,1984-02-12,179.0,79.0,7000,1.0,,nigeria・belgium,28.0,9.0,,,,,9.0,3.0,CHN・CHN,CHN・CHN,清水,9,9,1,27,25,28,14,3,9,-,-,2207
185,広島,10.0,浅野　拓磨,796.0,FW,1994-11-10,171.0,70.0,1500,4.0,,,44.0,8.0,,,3.0,0.0,3.0,0.0,広島,広島,広島,1,1,1,1,11,32,0,0,8,8,277,1048
186,広島,11.0,佐藤　寿人,665.0,FW,1982-03-12,170.0,65.0,5500,12.0,,,376.0,157.0,97.0,50.0,,,31.0,4.0,広島,広島,広島,1,1,1,34,29,34,17,11,12,2905,1883,2191
187,広島,13.0,増田　卓也,0.0,GK,1989-06-29,185.0,80.0,1100,5.0,,,4.0,0.0,,,,,,,広島,広島,広島,1,1,1,1,3,0,0,0,0,84,270,0
188,広島,14.0,ミキッチ,2033.0,MF,1980-01-06,177.0,68.0,4000,8.0,,croatia,180.0,6.0,,,,,,,広島,広島,広島,1,1,1,29,20,31,2,0,1,2256,1219,2482
189,広島,16.0,清水　航平,1626.0,MF,1989-04-30,169.0,67.0,2000,9.0,,,85.0,6.0,4.0,1.0,,,,,広島,広島,広島,1,1,1,19,21,16,0,0,2,866,1292,912
190,広島,17.0,野津田　岳人,0.0,MF,1994-06-06,177.0,72.0,1200,4.0,1.0,,62.0,10.0,,,4.0,1.0,,,広島,広島,広島,1,1,1,20,18,19,4,2,4,235,715,878
191,広島,18.0,柏　好文,2860.0,MF,1987-07-28,168.0,62.0,3200,3.0,,,122.0,11.0,57.0,5.0,,,,,甲府,広島,広島,1,1,1,34,29,30,4,2,4,2934,2305,2618
192,広島,19.0,佐々木　翔,360.0,DF,1989-10-02,176.0,70.0,2200,2.0,,,89.0,6.0,35.0,2.0,,,,,甲府,甲府,広島,1,1,1,33,34,22,3,3,0,2970,3060,682
194,広島,22.0,皆川　佑介,248.0,FW,1991-10-09,186.0,84.0,1000,3.0,,,23.0,3.0,,,,,1.0,0.0,-,広島,広島,-,1,1,-,18,5,-,3,0,-,769,47
195,広島,23.0,吉野　恭平,70.0,DF,1994-11-08,182.0,75.0,700,3.0,,,0.0,0.0,23.0,1.0,5.0,0.0,,,東京V,東京V・広島,広島,2,2,1,9,14,0,0,1,0,549,913,0
197,広島,25.0,茶島　雄介,1134.0,MF,1991-07-20,166.0,60.0,800,3.0,1.0,,4.0,0.0,,,,,,,-,広島,広島,-,1,1,-,1,3,-,0,0,-,64,122
199,広島,27.0,キム　ボムヨン,37.0,DF,1990-07-29,181.0,72.0,1000,1.0,,korea,27.0,2.0,24.0,1.0,,,,,山形,山形,山形,2,2,1,10,14,27,0,1,2,305,876,2363
200,広島,28.0,丸谷　拓也,1644.0,MF,1989-05-30,179.0,73.0,850,8.0,,,47.0,1.0,14.0,0.0,,,,,大分,広島,広島,1,1,1,16,1,7,1,0,0,936,90,219
202,広島,30.0,柴﨑　晃誠,3052.0,MF,1984-08-28,176.0,65.0,3000,3.0,,,109.0,9.0,139.0,16.0,,,,,徳島,広島,広島,2,1,1,38,22,27,6,1,6,3354,1647,1927
203,広島,31.0,宮吉　拓実,513.0,FW,1992-08-07,173.0,68.0,1500,1.0,,,18.0,3.0,137.0,28.0,,,,,京都,京都・富山,京都,2,2,2,18,20,33,3,3,4,888,1398,2115
204,広島,33.0,塩谷　司,2638.0,DF,1988-12-05,182.0,78.0,4200,5.0,,,96.0,12.0,60.0,5.0,,,2.0,0.0,広島,広島,広島,1,1,1,34,32,27,3,6,3,3049,2735,2319
205,広島,34.0,高橋　壮也,24.0,DF,1996-02-29,170.0,65.0,500,3.0,,,0.0,0.0,,,19.0,0.0,,,-,広島,広島,-,1,1,-,0,0,-,0,0,-,0,0
206,広島,35.0,大谷　尚輝,0.0,DF,1995-09-24,183.0,78.0,480,2.0,1.0,,0.0,0.0,5.0,0.0,6.0,0.0,,,-,広島,熊本,-,1,2,-,0,5,-,0,0,-,0,265
207,広島,37.0,宮原　和也,1031.0,DF,1996-03-22,172.0,67.0,750,4.0,1.0,,7.0,1.0,,,7.0,0.0,,,広島,広島,広島,1,1,1,0,4,3,0,0,1,0,183,270
